Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR14514161_1	46.03392200071777	4.690194262645298	1.5528169287546276	0.9370384979941178	0.7226081567690765	0.5210146038293427	0.44033195499172567	0.4085495954964837	0.3804465895687476	6.224917313785308	3.375049799236031	9.85379207473492	4.584098793829037	10.194013827238267	3.2383941365303337	6.842811463878913
SRR14514161_2	30.42886289465831	9.1206130706667	3.6924973976143844	1.8984008044128753	1.2227109003032077	0.9187793525853041	0.7230301622111791	0.5677539581062543	0.508159740886646	5.875228915913904	2.2540356485056106	6.541255854865315	3.9077557303298365	11.90417773234882	5.346337433807553	15.090400402784187
SRR14514162_1	75.5169160707341	6.751052881238821	1.623750738885036	0.8506566579954532	0.5571885181739186	0.4323733023912285	0.35293990367680306	0.26933562339461825	0.27470460984702755	3.3719038288398075	1.5772179444350405	3.809930786014411	1.5847522324093575	2.6529591923749196	0.3090270500672321	0.06529065952223655
SRR14514162_2	50.18887636918221	16.49954443434959	6.341086679131709	3.0110634240481526	1.7705978507225768	1.2022321117433028	0.9053674225176426	0.690191303722321	0.5627703663569577	5.095506614789399	1.4149046510422691	3.1077710158413008	1.5258530767622018	2.801048676462573	1.3530829422117112	3.530103061116093
SRR14514163_1	66.23563762035177	8.922483478787905	2.4860392766731922	1.3181870624888712	0.7980805490224557	0.6315666829595761	0.53455298455691	0.41940777695954456	0.33105218167189976	4.595913309518852	1.9489074800866437	4.930181230187236	2.088097641558351	3.750829327619931	0.7490901813620635	0.25997321619482844
SRR14514163_2	39.798787899079194	16.54911827571867	7.2512484486065025	3.6262862767476185	2.174151696182915	1.5400518367300555	1.161050627920492	0.9148749219117067	0.7768065177549061	7.398670806049905	1.9925076920979112	4.342222865653282	1.9840606772396276	3.9712586011210527	1.4607664906721884	5.058136366513837
SRR14514164_1	62.48099013033467	7.022314330366346	2.423953963440602	1.3100846040693515	0.8637357983331787	0.6614114041129907	0.5899736498437607	0.4377696911401848	0.39944644012769903	5.0834987426974925	2.293484346775139	6.036232523227883	2.7973355708128684	5.042811567642353	1.3361143238560724	1.2208429132195435
SRR14514164_2	42.52850953062971	12.001308051766252	4.97576331702415	2.7033401264146257	1.864082425081986	1.4607935067141251	1.1272238709742601	0.8988306653116852	0.7548695622846175	7.916475356660419	2.2015284389717595	5.0187164830969575	2.3470426448990356	5.460599562157029	1.8919512020341616	6.84896525597911
SRR14514165_1	79.71775753238396	7.221108755057225	1.9120252477938275	0.9468934248295054	0.6025509770957027	0.42340975933697517	0.35510235462034917	0.24900598732902549	0.2078673581030652	3.2176649245675923	1.2093964480910404	2.166515526238838	0.6381484630445906	0.6654549909200418	0.23885605033007437	0.2282422002581809
SRR14514165_2	52.7038795715543	16.164749747301762	6.516024322950832	3.3748861641137253	2.1359408804101494	1.4651341604255308	1.1078772056730852	0.9310565412571075	0.7132884558807715	6.12503908531113	1.2995695621466974	2.5115876392790093	1.1459533802942263	2.3838434014444934	0.4433484546011128	0.9778214273562439
