Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
SRR14514161_1	215.0	1830.5	5925.5	8125.0	6715.0	4672.0	3306.5	2542.0	2120.5	1925.0	1832.5	1867.0	2005.5	2315.5	2840.0	3746.5	5171.5	7323.5	10747.5	16026.0	24055.5	35716.5	52165.5	74016.0	101227.5	135914.0	178476.5	227966.0	282018.5	336922.5	390974.0	449183.0	646594.0	911717.5	1025659.0	1023449.5	964893.0	951673.0	994453.5	1026481.5	1073273.5	1165775.0	1358318.5	1587875.0	1742621.5	1792010.5	1762948.0	1768378.5	1907223.5	1976325.5	1816014.5	1543347.0	1273531.0	1113071.5	1037704.5	976177.5	918051.0	848903.5	758916.0	675746.5	629633.5	592843.0	523370.0	425423.0	336198.0	292870.0	271381.0	235740.0	200972.0	192790.0	191841.5	172494.0	143653.0	117009.0	102322.5	96872.5	102040.5	105318.0	94577.0	81337.5	76004.0	78541.5	76855.0	68627.5	60051.5	53514.0	50729.0	48324.5	44763.5	40070.5	34467.0	29326.0	22869.5	15740.0	10188.0	6556.0	4670.0	6374.0	7924.5	3899.0	355.0
SRR14514161_2	5332.0	5776.5	6156.0	5718.5	4968.0	4157.0	3473.0	3118.0	2974.0	2849.5	2782.0	2949.5	3237.0	3611.5	4232.0	5096.5	6458.0	8574.5	11648.0	16305.0	23264.5	33931.0	49317.5	69418.5	94709.0	127706.5	171710.5	220025.0	269323.0	323309.0	385825.5	445358.5	492701.5	548844.5	612134.0	702879.0	781339.0	863275.0	984536.5	1128338.5	1182475.5	1137597.0	1209599.0	1425698.0	1669366.0	1761049.0	1915048.5	2257093.5	2374051.0	1999080.0	1493537.5	1264409.5	1192048.0	1149161.5	1143544.0	1153712.0	1189989.5	1174076.0	1041795.0	884095.5	714136.0	602715.5	544084.0	472725.0	387275.0	323045.5	343369.0	366529.0	311804.5	232677.5	171756.5	130991.0	109655.0	91604.5	73583.5	70980.0	77066.5	63526.5	43972.0	37932.0	38000.0	40889.0	44079.0	46251.5	39744.0	32614.5	36236.0	38526.0	33014.0	27139.5	20006.0	13702.0	10880.0	6540.5	3298.0	2321.0	2045.5	1551.0	1121.5	1345.5	4722.0
SRR14514162_1	342.0	2366.0	6991.0	8877.5	6772.5	4606.5	3358.0	2662.0	2340.0	2236.5	2306.5	2450.5	2704.0	3256.0	4123.0	5556.0	7897.0	11493.5	17332.0	26211.0	39468.0	58208.0	83511.5	117876.5	161753.0	214936.5	275795.0	341800.5	411102.5	481450.0	550217.5	615316.5	685346.5	756583.5	823470.5	908307.0	994808.5	1047627.0	1066160.0	1057617.5	1043468.0	1032423.0	1009131.0	974823.0	953835.0	937577.0	901281.0	839882.5	763673.5	695344.0	638117.5	588512.0	544264.0	504028.5	465700.0	425595.0	387371.5	353119.5	321604.5	293108.5	274157.5	262956.0	242163.0	205231.5	161949.5	128675.0	106305.0	86541.0	69228.0	55286.5	45725.0	39214.0	34495.0	31741.0	29878.5	28507.5	27725.0	27196.0	27199.5	28313.0	33580.0	42809.5	46699.5	40476.0	30430.5	24993.5	28094.0	33909.0	34878.0	30173.5	22118.5	14207.5	8526.0	5173.5	3488.0	2428.0	1731.5	3263.0	4847.5	2452.5	122.0
SRR14514162_2	6800.0	7524.5	8030.5	7355.0	6092.5	4786.0	4009.0	3549.5	3284.5	3171.5	3172.5	3263.0	3426.5	3808.0	4500.5	5575.0	7433.5	10332.5	14638.5	21019.5	30516.0	45522.0	67929.0	97329.0	133442.5	178466.5	235141.5	300002.0	367400.0	437081.0	512305.0	584838.0	649262.5	714222.5	777132.5	861871.0	927117.0	979888.0	1066665.5	1187175.5	1197043.5	1077077.5	1018499.5	1008570.5	1031774.5	973062.0	862767.0	803203.0	741303.5	698658.5	669649.0	631026.0	569104.0	509404.0	462735.5	422516.5	392405.5	369951.5	342921.5	310232.0	278763.0	252416.0	229307.0	199976.5	167455.5	139665.0	125822.5	122684.5	110456.0	88671.5	70835.5	60697.5	53996.5	47359.0	42386.0	40327.0	41503.0	44871.0	44277.5	35681.0	25270.0	18815.0	17376.5	15621.0	12000.0	10525.0	11304.0	13506.5	17273.0	24714.0	29217.5	20633.5	9112.0	4360.0	2270.5	1377.5	1291.0	1055.5	823.0	953.0	3572.5
SRR14514163_1	194.0	1164.5	3555.5	4904.0	4223.5	3237.0	2594.5	2243.5	2158.0	2165.0	2207.5	2333.5	2694.5	3341.0	4254.5	5761.0	8281.5	12386.0	18981.5	29009.5	43688.5	64420.0	92257.0	129145.5	176849.5	234576.0	299098.0	366405.0	435467.5	505736.0	575955.0	646419.5	737925.5	838018.0	922520.5	1023031.0	1133234.0	1211280.5	1243115.5	1236353.5	1228474.0	1224038.0	1194883.0	1149302.0	1139860.0	1141125.0	1096021.0	1012712.5	915519.0	833903.5	771059.5	725942.0	687890.5	647122.5	600778.5	549612.0	503545.5	464141.5	430233.5	405438.0	389907.5	373940.0	343525.5	296396.0	244212.0	208890.0	183768.0	152383.0	121872.0	98046.5	83338.5	73403.5	64950.0	58548.0	53627.0	50404.0	49353.5	49055.5	49252.0	53410.5	67723.5	87049.0	88442.5	73285.5	62458.5	64831.5	79060.5	88634.0	82169.5	64770.5	44709.5	27791.5	16380.0	10053.5	6593.0	4542.0	3537.0	7008.5	9985.0	4852.0	321.0
SRR14514163_2	8511.0	8389.5	7697.5	6708.0	5575.5	4541.0	4126.0	3902.0	3738.0	3717.5	3795.0	3914.0	4132.0	4589.0	5456.5	6849.0	8985.0	12493.5	17822.5	26001.0	38552.0	58081.5	87408.0	124170.5	166013.5	215577.5	276022.5	346218.5	420747.5	496361.0	569440.5	640169.5	710955.0	784031.5	856711.0	962689.5	1049316.0	1136253.0	1268658.5	1433667.5	1448954.0	1294638.0	1231878.0	1236091.0	1267747.0	1172103.5	1026612.0	952283.5	862917.5	806777.5	772502.5	729806.5	658262.5	589228.5	545794.0	516692.5	497900.5	494577.0	465901.0	413917.5	374571.5	354300.5	340825.0	302276.0	247234.5	203294.0	185601.5	182781.5	170177.0	143086.0	117847.0	101842.5	90391.0	79548.5	71163.0	65281.5	60062.0	58369.5	56955.0	48615.5	37570.5	32201.0	32640.5	30379.0	25955.5	28716.0	33652.5	38286.0	53915.0	79724.5	80818.5	58842.5	33912.5	12657.0	5416.0	3953.5	3849.5	3082.5	2475.0	2703.0	9699.5
SRR14514164_1	104.0	784.0	2487.5	3340.5	2818.5	2133.0	1658.5	1456.5	1365.0	1292.0	1301.5	1433.0	1648.5	1913.5	2368.5	3157.5	4430.5	6609.0	9950.0	14996.0	22562.5	33134.0	47186.5	66845.5	92580.0	123648.0	158928.5	196318.5	234726.0	275733.0	318381.0	362962.5	458975.5	576237.0	648774.0	712549.5	777831.5	835272.0	871401.5	878881.0	888666.5	898791.0	882560.5	849986.0	880035.0	936933.0	937022.5	873201.0	760617.0	661542.5	593731.5	550331.5	518301.5	485555.5	452166.5	417843.5	386405.5	359472.0	335174.0	314017.5	304035.5	302790.5	291100.0	260278.5	224033.5	202058.0	182700.0	151717.5	119825.0	95241.5	80147.0	70721.0	63769.5	58812.0	54552.5	50071.5	46640.0	44661.5	44126.0	48508.5	59606.0	76123.5	79318.5	63755.5	49424.5	47741.0	57266.0	63770.0	60037.0	49279.5	35820.5	23720.5	14329.0	8381.0	5151.0	3441.5	2528.5	4389.5	6160.5	2987.0	172.5
SRR14514164_2	4300.0	4668.5	4548.5	3860.5	3305.5	2745.5	2379.5	2145.5	2096.0	2088.5	2082.5	2171.0	2353.0	2669.0	3157.0	3890.5	5132.5	7065.0	10011.5	14361.5	20765.5	31065.5	47022.5	66377.5	87953.5	115095.0	148796.5	188577.0	231928.0	277251.0	324363.5	369987.0	418667.0	474007.0	531671.0	630105.5	710362.0	797113.0	937839.0	1121268.5	1159773.5	1024231.0	1009492.5	1035526.5	1038961.0	949482.5	814492.0	740654.5	667261.5	619932.0	593228.5	566692.0	511163.0	458283.0	425871.5	398302.5	373708.5	355941.5	335658.5	309765.0	289208.0	281766.5	276384.0	246834.5	202389.5	167896.0	154303.0	156216.0	149558.0	126818.0	105782.0	92103.0	78451.0	64847.0	57361.5	54852.5	53427.5	50251.0	45565.0	38322.5	31062.0	31204.0	34683.0	29609.0	21981.5	24416.0	28040.5	29763.5	36719.0	52479.5	58728.5	38746.0	15931.5	6344.0	2997.5	1926.5	1842.0	1383.0	912.0	965.0	3329.0
SRR14514165_1	370.0	2525.5	7280.0	9039.0	6913.5	4927.5	3858.5	3208.0	2931.0	2941.0	3053.0	3295.0	3752.0	4461.0	5694.5	7845.0	11425.5	17471.5	26913.5	40985.5	61394.5	89954.0	128173.0	178459.0	241622.0	317831.5	403210.5	492095.0	582297.5	670038.0	752689.0	828829.0	901590.5	968733.5	1025580.5	1075829.5	1119995.5	1153931.5	1173147.0	1172817.0	1158890.0	1137403.0	1106940.5	1072100.0	1039142.5	996596.5	936809.0	869126.5	802398.0	743481.5	690145.0	638737.5	590276.5	545360.0	502376.0	461541.5	422784.0	387933.0	356619.0	329742.0	325312.0	337876.5	327069.0	279003.0	211415.0	161322.0	135646.5	112763.0	91137.0	72903.5	59868.0	51073.0	43863.0	38398.0	34917.0	32220.5	30310.5	28973.5	28131.5	28525.5	32056.5	40059.5	43636.0	37434.5	28091.5	22907.0	24936.5	29109.5	29810.5	26041.5	19385.5	12695.5	7582.0	4462.5	2880.5	1892.5	1360.5	3090.0	4782.5	2353.0	76.0
