Sample	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
SRR14514161_1	255107.0	306150.0	312837.0	236517.0	218905.0	374262.0	753043.0	675569.0	371340.0	330351.0	377176.0	348258.0	334199.0	324569.0	483523.0	360640.0	322981.0	321266.0	328325.0	306057.0	291561.0	314967.0	276511.0	274543.0	30261.0	29066.0	27984.0	24377.0	22008.0	21767.0	27927.0	555617.0	30317310.0
SRR14514161_2	267680.0	317873.0	325607.0	249003.0	228071.0	382723.0	760650.0	685238.0	381381.0	340491.0	385964.0	354069.0	338427.0	325570.0	484273.0	362207.0	325704.0	323450.0	330105.0	308923.0	293755.0	314385.0	272436.0	266506.0	25657.0	24395.0	27514.0	23784.0	24588.0	22150.0	27902.0	688638.0	30065855.0
SRR14514162_1	67265.0	73028.0	76841.0	81290.0	83033.0	89419.0	101464.0	99558.0	100749.0	102930.0	110527.0	116979.0	115154.0	118388.0	121299.0	122624.0	128759.0	133564.0	141602.0	147337.0	148868.0	151508.0	155203.0	161574.0	22061.0	21775.0	21079.0	20431.0	18625.0	18904.0	23397.0	407280.0	22045775.0
SRR14514162_2	75728.0	80341.0	83787.0	88831.0	90390.0	96187.0	107112.0	106327.0	106815.0	108831.0	115442.0	120508.0	117083.0	119336.0	123246.0	124249.0	130567.0	134923.0	139828.0	146973.0	146472.0	148818.0	149525.0	153857.0	16880.0	17066.0	16830.0	16001.0	15581.0	14959.0	18404.0	489290.0	21928103.0
SRR14514163_1	42953.0	44970.0	47024.0	49182.0	51756.0	59386.0	79488.0	73680.0	69682.0	67217.0	73193.0	78356.0	80235.0	81761.0	85339.0	82109.0	87315.0	92818.0	103737.0	111693.0	116521.0	124727.0	131711.0	146886.0	32138.0	32665.0	30673.0	31358.0	27938.0	26899.0	36745.0	528077.0	28356148.0
SRR14514163_2	53521.0	53494.0	55858.0	58200.0	62026.0	69038.0	87630.0	82847.0	78097.0	75287.0	79225.0	82124.0	81628.0	81748.0	86286.0	82406.0	88904.0	93124.0	100591.0	110575.0	113061.0	119379.0	120175.0	131505.0	19110.0	18867.0	19722.0	18246.0	18096.0	17038.0	21431.0	582542.0	28322599.0
SRR14514164_1	32240.0	32382.0	33031.0	34944.0	36681.0	40457.0	52244.0	48409.0	46503.0	45195.0	48354.0	51437.0	52716.0	53446.0	60149.0	49529.0	51983.0	54331.0	58640.0	62708.0	65160.0	70505.0	74204.0	79511.0	24966.0	24417.0	23749.0	21794.0	19711.0	20147.0	28508.0	393928.0	21366666.0
SRR14514164_2	42078.0	40561.0	40562.0	43074.0	45312.0	48936.0	59179.0	55985.0	53687.0	51963.0	54210.0	55444.0	54850.0	54074.0	61221.0	50305.0	52885.0	54388.0	56945.0	62445.0	62552.0	65840.0	65756.0	67955.0	14211.0	14162.0	13889.0	13281.0	12899.0	12705.0	15544.0	460353.0	21301394.0
SRR14514165_1	65316.0	70409.0	77315.0	78141.0	76958.0	80525.0	89610.0	88288.0	87307.0	86851.0	91700.0	99386.0	96872.0	95815.0	97441.0	97182.0	101990.0	101809.0	106071.0	110149.0	113902.0	116194.0	120110.0	123748.0	25361.0	24688.0	24517.0	22937.0	21637.0	21628.0	25382.0	478817.0	26678383.0
SRR14514165_2	74486.0	78044.0	85144.0	85926.0	84890.0	88807.0	96815.0	96137.0	95239.0	94672.0	98011.0	104184.0	100234.0	98033.0	100917.0	100530.0	106015.0	104883.0	107636.0	111951.0	113840.0	115145.0	116371.0	117035.0	19102.0	18844.0	18889.0	18190.0	17714.0	17319.0	21545.0	583702.0	26506189.0
SRR14514166_1	9212.0	9697.0	10317.0	11098.0	10980.0	11872.0	13994.0	13292.0	12425.0	13061.0	14015.0	14784.0	14827.0	14722.0	15823.0	15013.0	15623.0	15993.0	17503.0	18365.0	19330.0	21357.0	22027.0	22566.0	6986.0	6974.0	6736.0	6085.0	5358.0	5114.0	6611.0	105688.0	5245515.0
SRR14514166_2	11173.0	11283.0	12094.0	12618.0	12781.0	13563.0	15444.0	14953.0	14161.0	14736.0	15423.0	15392.0	14948.0	14481.0	15629.0	14694.0	15389.0	16055.0	17009.0	18005.0	17784.0	19269.0	19235.0	19050.0	4217.0	4197.0	4193.0	3732.0	3694.0	3624.0	4451.0	123790.0	5235896.0
SRR14514167_1	39476.0	42582.0	48818.0	50047.0	51191.0	60623.0	90707.0	83557.0	74807.0	68048.0	69896.0	73449.0	75504.0	75876.0	79835.0	76201.0	80633.0	84221.0	88942.0	94381.0	100825.0	108847.0	116377.0	125964.0	32712.0	31321.0	30410.0	26929.0	23269.0	22350.0	28864.0	540487.0	29994642.0
SRR14514167_2	55183.0	56558.0	63392.0	63761.0	65049.0	74439.0	103432.0	98380.0	89716.0	82649.0	82224.0	83343.0	82578.0	82008.0	87028.0	82780.0	88224.0	91116.0	94286.0	101863.0	106300.0	111790.0	113081.0	117349.0	25284.0	24809.0	24935.0	23344.0	23335.0	22721.0	28282.0	741028.0	29601524.0
SRR14514168_1	50890.0	54102.0	56735.0	58724.0	60697.0	65579.0	75382.0	74324.0	74128.0	73663.0	80777.0	86777.0	86308.0	87649.0	90360.0	88506.0	94206.0	95234.0	99893.0	103195.0	104685.0	106492.0	108457.0	114968.0	16001.0	16544.0	15670.0	15692.0	14303.0	13466.0	16081.0	303048.0	17499719.0
SRR14514168_2	55997.0	58341.0	61275.0	63039.0	65366.0	70362.0	79285.0	78731.0	78323.0	77675.0	84062.0	88757.0	87538.0	88035.0	91299.0	89693.0	95157.0	96273.0	99806.0	104341.0	104712.0	105855.0	106123.0	110432.0	12361.0	12232.0	12320.0	11538.0	11289.0	10683.0	13298.0	364206.0	17413851.0
SRR14514169_1	70283.0	75449.0	91732.0	87970.0	85341.0	88447.0	96076.0	98598.0	101174.0	104530.0	110865.0	118765.0	121479.0	124939.0	129547.0	133456.0	141338.0	146461.0	154475.0	159786.0	165835.0	172282.0	179812.0	187281.0	19879.0	19505.0	18863.0	17033.0	14964.0	14725.0	19293.0	393730.0	23357975.0
SRR14514169_2	76460.0	80365.0	96897.0	92548.0	90102.0	93199.0	100031.0	104332.0	105950.0	109819.0	115013.0	122232.0	123235.0	125580.0	130769.0	134700.0	143385.0	147987.0	154744.0	161691.0	165735.0	171622.0	176501.0	181570.0	15707.0	15817.0	15292.0	14738.0	14460.0	13995.0	17298.0	475352.0	23234762.0
SRR14514170_1	73622.0	76993.0	82001.0	85341.0	87057.0	90750.0	97302.0	98372.0	99525.0	101777.0	106624.0	113727.0	115919.0	118562.0	120701.0	122301.0	128559.0	132124.0	139897.0	145587.0	153311.0	160025.0	171887.0	182903.0	43850.0	41623.0	40467.0	34929.0	29124.0	28906.0	38620.0	720637.0	40558959.0
SRR14514170_2	84687.0	85701.0	91668.0	94417.0	97463.0	101067.0	106966.0	109915.0	111408.0	113847.0	116518.0	120912.0	119374.0	120440.0	124441.0	125741.0	133004.0	136715.0	141175.0	148904.0	153737.0	156765.0	160098.0	164230.0	28108.0	27781.0	27215.0	26267.0	25984.0	25716.0	31721.0	847562.0	40382435.0
SRR14514171_1	32842.0	34618.0	36317.0	38893.0	39549.0	41558.0	46926.0	45626.0	45052.0	44483.0	46720.0	48332.0	48698.0	49110.0	49393.0	47808.0	49067.0	50591.0	56001.0	57773.0	62725.0	64861.0	67064.0	70411.0	27974.0	27829.0	26781.0	26315.0	25245.0	25046.0	27601.0	492709.0	26187908.0
SRR14514171_2	49233.0	48933.0	51158.0	52579.0	53448.0	55254.0	59731.0	60243.0	59196.0	58246.0	58969.0	58082.0	55871.0	54660.0	55542.0	53333.0	55933.0	56774.0	58595.0	61632.0	62438.0	63181.0	63484.0	63985.0	22386.0	22538.0	22232.0	21223.0	20915.0	19889.0	24843.0	700202.0	25817098.0
SRR14514172_1	35828.0	37720.0	40209.0	42994.0	44596.0	47584.0	53586.0	53031.0	52810.0	53826.0	57969.0	59858.0	61345.0	62688.0	65760.0	65056.0	67601.0	70158.0	75225.0	78150.0	80764.0	84598.0	87630.0	92219.0	16499.0	16734.0	16100.0	14289.0	12832.0	12480.0	15161.0	313599.0	18092183.0
SRR14514172_2	42726.0	43432.0	46574.0	49008.0	50542.0	53349.0	59288.0	59003.0	58704.0	59795.0	63264.0	63464.0	63878.0	64072.0	67741.0	67130.0	69467.0	72496.0	75582.0	79513.0	81349.0	84730.0	85517.0	88115.0	13247.0	13529.0	13062.0	12427.0	12211.0	12050.0	14802.0	397859.0	17943156.0
SRR14514173_1	28674.0	30240.0	31608.0	33539.0	34146.0	35323.0	38051.0	37357.0	38624.0	39919.0	42401.0	44012.0	44531.0	45814.0	46264.0	47419.0	51454.0	53820.0	61105.0	63600.0	67862.0	68746.0	75068.0	80452.0	25786.0	26294.0	24345.0	27789.0	21616.0	20160.0	24558.0	432354.0	24118532.0
SRR14514173_2	37250.0	36418.0	37328.0	40089.0	41972.0	44056.0	44731.0	44207.0	44030.0	45333.0	46917.0	46922.0	45638.0	46048.0	47718.0	48075.0	52262.0	53089.0	56793.0	60619.0	61023.0	62004.0	64240.0	66593.0	14828.0	14634.0	14743.0	13963.0	13666.0	13485.0	16498.0	472855.0	24113436.0
SRR14514174_1	106924.0	113970.0	142885.0	138913.0	137371.0	152617.0	191629.0	186049.0	181588.0	178526.0	189623.0	205817.0	210939.0	211756.0	231041.0	215906.0	224375.0	233605.0	243619.0	253919.0	260460.0	271331.0	272579.0	283044.0	18442.0	17710.0	17494.0	15635.0	13859.0	13500.0	16517.0	359109.0	22708844.0
SRR14514174_2	114272.0	119638.0	149283.0	144752.0	143159.0	158385.0	196474.0	191616.0	186957.0	184173.0	194231.0	208284.0	212891.0	212680.0	232571.0	217778.0	226348.0	235532.0	244678.0	255935.0	261699.0	271723.0	269935.0	278413.0	16550.0	16702.0	16582.0	15763.0	15357.0	14936.0	18096.0	476176.0	22518027.0
SRR14514175_1	51150.0	53555.0	59300.0	59631.0	59608.0	65187.0	81984.0	76706.0	73998.0	71992.0	75713.0	76711.0	79276.0	78123.0	83695.0	78231.0	80750.0	83915.0	89540.0	92274.0	95194.0	100135.0	104081.0	109139.0	25128.0	24580.0	23637.0	21326.0	19299.0	19189.0	24058.0	412117.0	23097863.0
SRR14514175_2	62383.0	62714.0	68754.0	68324.0	68618.0	73459.0	89780.0	85375.0	82368.0	80077.0	82662.0	82040.0	82566.0	80486.0	86692.0	80717.0	84255.0	86758.0	90496.0	93985.0	94298.0	97971.0	97534.0	99046.0	17480.0	17435.0	17090.0	16088.0	15967.0	15507.0	18901.0	506490.0	22940769.0
SRR14514176_1	29294.0	30717.0	32964.0	34058.0	36285.0	45993.0	73539.0	62394.0	54754.0	48643.0	49546.0	50296.0	51950.0	51810.0	58966.0	52433.0	54781.0	56894.0	61295.0	63777.0	66826.0	74121.0	79194.0	85457.0	29101.0	29200.0	28486.0	24215.0	20729.0	19449.0	26626.0	463464.0	24129078.0
SRR14514176_2	44969.0	44834.0	47794.0	48255.0	50057.0	58409.0	85461.0	75509.0	68354.0	61692.0	61452.0	59725.0	58594.0	56715.0	64746.0	58199.0	60913.0	62691.0	64755.0	69249.0	70634.0	75060.0	75342.0	76882.0	21542.0	21014.0	20889.0	19923.0	19665.0	19236.0	23440.0	611536.0	23818799.0
SRR14514177_1	47706.0	49496.0	53504.0	53055.0	53289.0	57191.0	68478.0	64567.0	64166.0	61913.0	65200.0	66902.0	69952.0	70291.0	72030.0	68455.0	72205.0	74233.0	76625.0	81587.0	85608.0	91571.0	96465.0	104078.0	24591.0	23245.0	22456.0	21168.0	18802.0	18736.0	24526.0	395367.0	20453878.0
SRR14514177_2	59142.0	59641.0	64419.0	63618.0	64071.0	67565.0	78058.0	75669.0	75149.0	73317.0	74422.0	74292.0	75385.0	75144.0	77021.0	73556.0	78479.0	79828.0	81932.0	87759.0	89856.0	93560.0	94303.0	97803.0	19238.0	18797.0	18995.0	18065.0	18100.0	17498.0	21491.0	558403.0	20146760.0
SRR14514178_1	47613.0	50391.0	57143.0	57629.0	56556.0	60598.0	68997.0	67656.0	66452.0	66732.0	70714.0	73314.0	74219.0	74759.0	76416.0	75506.0	78537.0	79574.0	83702.0	86539.0	90756.0	94860.0	96620.0	101068.0	21234.0	20973.0	20087.0	18813.0	17661.0	18021.0	21966.0	407562.0	23258467.0
SRR14514178_2	55290.0	56784.0	63994.0	63684.0	62678.0	66590.0	74213.0	74174.0	72818.0	73525.0	76030.0	77142.0	76437.0	75827.0	78088.0	76875.0	80800.0	82213.0	85260.0	88685.0	89796.0	93063.0	93260.0	95753.0	16381.0	16654.0	15742.0	15062.0	14721.0	14304.0	17660.0	496822.0	23120810.0
SRR14514179_1	72939.0	80085.0	89722.0	93307.0	96798.0	104131.0	116454.0	120964.0	124800.0	131650.0	143374.0	157049.0	160885.0	168410.0	178865.0	184913.0	197295.0	206497.0	221573.0	234486.0	245163.0	256175.0	268949.0	283729.0	31257.0	31309.0	30404.0	28464.0	26269.0	27369.0	37354.0	553727.0	31097612.0
SRR14514179_2	85291.0	90401.0	99996.0	102820.0	106004.0	112888.0	124085.0	130159.0	133828.0	139931.0	150316.0	162023.0	164029.0	169706.0	180852.0	186512.0	200233.0	207656.0	221189.0	234957.0	242571.0	253164.0	262562.0	273929.0	24584.0	25013.0	24965.0	23425.0	23375.0	22368.0	27255.0	674279.0	30921612.0
SRR14514180_1	33993.0	35616.0	37941.0	39175.0	39951.0	43491.0	49912.0	49942.0	49958.0	51015.0	55384.0	57870.0	59607.0	61889.0	63779.0	65648.0	70393.0	73887.0	78811.0	84118.0	89214.0	93358.0	100648.0	106676.0	22049.0	21093.0	20219.0	18987.0	15759.0	14700.0	18719.0	373970.0	20900934.0
SRR14514180_2	39923.0	40123.0	42836.0	44309.0	45224.0	48591.0	54268.0	55822.0	55963.0	56919.0	60573.0	61745.0	61343.0	62957.0	65649.0	67699.0	72758.0	75891.0	79743.0	85480.0	88485.0	91387.0	94064.0	97634.0	14821.0	14233.0	14405.0	13458.0	13640.0	13123.0	16860.0	456610.0	20792170.0
SRR14514181_1	47362.0	50523.0	56726.0	57957.0	59209.0	65375.0	81290.0	77066.0	73200.0	74732.0	78667.0	80021.0	83705.0	85340.0	90641.0	89712.0	96204.0	99855.0	108463.0	113765.0	123228.0	134772.0	140102.0	146891.0	34540.0	32425.0	32062.0	30378.0	28152.0	27265.0	32953.0	514299.0	28493171.0
SRR14514181_2	59342.0	58935.0	65706.0	66931.0	68177.0	73256.0	88536.0	85305.0	80572.0	82531.0	85140.0	84463.0	84900.0	84746.0	91355.0	89431.0	96953.0	100178.0	106094.0	112947.0	116065.0	123670.0	125874.0	130355.0	21652.0	21559.0	22359.0	20376.0	19743.0	18622.0	22399.0	553341.0	28478538.0
