Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR14514161_1	0.3081849022231657	1.354210408864746
SRR14514161_2	0.43069157056722046	4.151898706884733
SRR14514162_1	0.0	0.0
SRR14514162_2	0.29421777821385486	1.3157905041430245
SRR14514163_1	0.0	0.0
SRR14514163_2	0.3379300350228926	1.5968708924881159
SRR14514164_1	0.15871417378152328	0.11173636842392506
SRR14514164_2	0.44388539452784964	3.1311235227664507
SRR14514165_1	0.0	0.0
SRR14514165_2	0.12856620085413487	0.0
SRR14514166_1	0.0	0.0
SRR14514166_2	0.14627322245638744	0.6111595708941272
SRR14514167_1	0.0	0.0
SRR14514167_2	0.0	0.0
SRR14514168_1	0.0	0.0
SRR14514168_2	0.17945653293726363	0.21696475169144833
SRR14514169_1	0.0	0.0
SRR14514169_2	0.15773289817498243	0.24469762964959824
SRR14514170_1	0.0	0.0
SRR14514170_2	0.1569863162493268	0.0
SRR14514171_1	0.0	0.0
SRR14514171_2	0.1618787262909528	0.645942668439218
SRR14514172_1	0.0	0.0
SRR14514172_2	0.1320493108494738	0.23533892912948068
SRR14514173_1	0.0	0.0
SRR14514173_2	0.3977218417689155	1.3095872964801563
SRR14514174_1	0.0	0.0
SRR14514174_2	0.1458622776719224	0.46218706326502457
SRR14514175_1	0.0	0.0
SRR14514175_2	0.2070125263322862	0.8413152772803911
SRR14514176_1	0.0	0.0
SRR14514176_2	0.19255481488170484	0.33638512672478754
SRR14514177_1	0.0	0.0
SRR14514177_2	0.10883583993512608	0.0
SRR14514178_1	0.0	0.0
SRR14514178_2	0.12168997359085432	0.21639904820908884
SRR14514179_1	0.0	0.0
SRR14514179_2	0.1610773326440302	0.5671145794002042
SRR14514180_1	0.0	0.0
SRR14514180_2	0.1536460186923648	0.3646420133876792
SRR14514181_1	0.0	0.0
SRR14514181_2	0.2430697764436861	1.0260074989991952
SRR14514182_1	0.0	0.0
SRR14514182_2	0.1296793524470023	0.23788794143001374
SRR14514183_1	0.0	0.0
SRR14514183_2	0.17457953099449086	0.3294506470241778
SRR14514184_1	0.0	0.0
SRR14514184_2	0.4461028369671842	2.0583706544727587
SRR14514185_1	0.0	0.0
SRR14514185_2	0.0	0.0
SRR14514186_1	0.10167112256177355	0.0
SRR14514186_2	0.4899605257372039	1.0702480841507758
SRR14514187_1	0.0	0.0
