Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR14514161_1	45.78061009789497	4.924379901406209	1.6898674956338728	1.0540750299133306	0.8088413967725604	0.618129922305574	0.522956332444322	0.4467419998626076	0.425062034595159	6.772813820346838	3.4356072164238554	9.654529143595509	4.408368633901816	9.733310893430923	3.112358310879522	6.612347770593188
SRR14514161_2	30.99010167203084	8.920954978369174	3.6165473317601524	1.9366589247629111	1.2404332241691713	0.9626868555719585	0.7309930354673424	0.5927983680461223	0.5386425506148071	6.4856779121903925	2.511098197489327	6.952941684565947	3.9033108278670348	11.418964522529732	4.958867527829864	14.239322386735234
SRR14514162_1	75.06313846405644	6.787615008848437	1.667080234247987	0.8841636348550813	0.5839485131984676	0.4696161142917558	0.35769487594844096	0.2941996446840511	0.26885856396941205	3.510594813659619	1.598009900255359	3.868644625805675	1.5855821018033536	2.697438176913489	0.30026849224622065	0.0631468352162943
SRR14514162_2	50.80883353408547	16.128542978835757	6.177266050907159	2.9585483776470682	1.7305164295055104	1.1816992516745404	0.8859359368986738	0.6848808557184802	0.5654156079223029	5.151130904006028	1.4652718205272166	3.1853846673771153	1.5396933074952384	2.7691945266388722	1.3073661616186605	3.4603195891418186
SRR14514163_1	65.62609436921227	8.901254697767124	2.5374343127460968	1.3209798875024534	0.8099141571324029	0.6687663291505263	0.5402032936823006	0.42335545941311953	0.3688341052289589	4.735576096479314	2.0096182394594138	4.961704852804669	2.101324393557686	3.8677237304930445	0.8402581370429614	0.2869579383276419
SRR14514163_2	40.316491271168736	16.109822455264165	7.08037179903355	3.563853359162286	2.16503983649374	1.5113850635776374	1.1724765409165074	0.8884739643648618	0.7643628982586065	7.413855593307445	2.0353200347612326	4.464574517700959	1.9723200198225737	3.9993239936783413	1.4262833284149028	5.116045324074534
SRR14514164_1	62.42213356533313	7.023851801685891	2.444977507471	1.3450139056398718	0.87127549233762	0.6783785817768678	0.5925364602543493	0.4713968056121031	0.3864394794513578	5.128345073415642	2.2739540809937475	5.9568973722788225	2.783817025742804	5.040326989244891	1.362936777347923	1.2177190814139376
SRR14514164_2	43.34001187235399	11.80160481242054	4.862482992269465	2.6830999474710278	1.8396291648654928	1.4508899993650415	1.1150156710827646	0.8892170295590782	0.7735472766919194	7.9274546989387895	2.1806269737160195	4.991100615354857	2.3332514338307853	5.292637706101083	1.883295067601828	6.636134738377455
SRR14514165_1	79.32160021804381	7.252687417940979	1.972401836940561	0.9643015116064994	0.6210111565430422	0.4458647283240458	0.3677358199506068	0.26564470772540516	0.20673621266493586	3.319832122692965	1.2315741067476647	2.2129210107587736	0.649635378537497	0.6992728217287183	0.24772144027216683	0.22105950952228562
SRR14514165_2	53.18564838641515	15.852909692606158	6.380224510679872	3.313269016581314	2.103714317658977	1.4323649244410477	1.1187406391295684	0.8824533043577564	0.7085868084680729	6.188807010508105	1.3135604116118038	2.565765930228183	1.1777394783804458	2.3304801491751004	0.45394663879079294	0.9917887809676867
SRR14514166_1	80.1926003593986	6.157483270233263	1.5462504793245049	0.846517162296029	0.6249424387468614	0.46112903290121243	0.37475203220682474	0.3314096354029035	0.2821611395659043	3.7268223623261494	1.4042005533175448	2.5011422750200807	0.8584544607632333	0.692134798496811	0.0	0.0
SRR14514166_2	62.09399791282234	14.90043078152381	5.031193314591396	2.1650160428626863	1.1727365339342195	0.7931858713603577	0.5387184737664479	0.44649078887188814	0.3703153621132727	3.91692583839022	1.4174724299824901	3.2142969428831942	1.1834608209400928	1.8492040231659777	0.9065548627916035	0.0
SRR14514167_1	76.6710795605742	7.717707502799047	1.9484507869360228	1.0346186829175605	0.6609192265695107	0.48327595006916313	0.396996759965331	0.34374678250202717	0.2844459614323211	3.7472397407938	1.3882661773736542	2.6857168253333055	0.8533889090053908	1.2403451239323997	0.3635562805805325	0.1802457292158251
SRR14514167_2	52.17116426922175	16.34944864769048	6.619555440214428	3.2975391030377166	2.030451627969884	1.3304697815022497	0.96908181271377	0.8306962717807179	0.6444524863168969	5.350938333251728	1.284842709723406	3.0003640305706254	1.4050055221496942	2.6971531323904308	0.8259317611991113	1.1929050702672286
SRR14514168_1	79.77387239622955	6.702494820750618	1.7058733628890452	0.8422969170480619	0.5733805332666514	0.42813606888879246	0.3453203666202973	0.2779208846654213	0.2706682725158186	3.6482128945503463	1.339005146622026	2.398308097413108	0.7259658087219134	0.6744121717990764	0.2426409989254913	0.0514912590938108
SRR14514168_2	55.59101760875854	16.376680805182946	6.0747853852654	2.847489087896364	1.772604932087567	1.1386476753187211	0.8434065481128208	0.6526412302537934	0.5374966013270441	4.944426336540745	1.3699165952468102	2.999220980353906	1.366655428745752	2.0252957248675294	0.5587893504063276	0.9009257096357406
SRR14514169_1	83.03761049188618	5.7348187114833005	1.3105840037739775	0.6377937428650855	0.45062696394865787	0.32994585689171646	0.2632525570141989	0.20226250867025988	0.193692857073835	3.0356498023048797	1.1755096677723451	2.152631409466151	0.6292498131600817	0.6856127645768425	0.16075884911254218	0.0
SRR14514169_2	59.96706595052701	15.221614524587675	5.481515432882127	2.761980181785569	1.6715893609125132	1.1421679910544544	0.8640944573054742	0.6503240377169944	0.46172399678614573	3.8736295442629123	0.9757848873204257	2.378673724612407	1.1412586369465794	1.9788500918617953	0.401588755533311	1.0281384259046087
SRR14514170_1	77.80007468247817	8.313147905796889	2.1325477395186883	0.9718587135197613	0.627363571929049	0.4806357553724861	0.36211259281226765	0.2856815648618315	0.24852666021109435	3.1499777183206907	1.1965205902230707	2.2432525548718885	0.6760866792417561	0.960235607955693	0.23852169849914134	0.3134559643874809
SRR14514170_2	51.87562704733774	16.917015067523703	6.763303621733814	3.5631997265304785	2.18485119491316	1.5851950071336534	1.119037881368774	0.8721748490875851	0.7225847861917024	5.750924115430379	1.1287946701230978	2.378266925308439	1.10000287675721	2.383867704381951	0.5222283588603127	1.1329261673180882
SRR14514171_1	78.68527987317329	7.126423925317238	1.8100541762279005	0.8409461966745241	0.5977095959994967	0.4503036849686037	0.3043261855293628	0.29016467428690157	0.2543466501143067	3.175378168318012	1.170610770776614	2.6802921485952793	0.9807726129930713	1.4611993684063649	0.17219196861910765	0.0
SRR14514171_2	53.812894024694494	16.19540082762227	6.252693915593707	3.1399607477161826	1.9462666399927304	1.3522878506044864	1.0218641870583718	0.8095991410614742	0.6325991317199801	5.2140386646793875	1.229073003695743	2.4815683126340504	1.257263795955503	2.190792007101527	0.8504983986205293	1.6131993512496334
SRR14514172_1	81.13293170979401	6.5990186314244745	1.6952366566129993	0.8320758742535023	0.5616773467305316	0.4102295543541807	0.32821135682160696	0.26461093063920754	0.2434123970181653	2.992123589485518	1.0258822833960863	2.3120148479179856	0.7243868525648403	0.7453492151827897	0.13283875380415675	0.0
